"ID","State","County","County_/City/Parish","Officials","RegisterLink","SOELink","CountyNumber"
"68","AK","Aleutians East","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2013"
"102","AK","Aleutians West","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2016"
"69","AK","Anchorage","Municipality","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2020"
"103","AK","Bethel","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2050"
"70","AK","Bristol Bay","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2060"
"71","AK","Denali","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2068"
"106","AK","Dillingham","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2070"
"72","AK","Fairbanks North Star","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2090"
"73","AK","Haines","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2100"
"107","AK","Hoonah-Angoon","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2105"
"74","AK","Juneau","City and Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2110"
"75","AK","Kenai Peninsula","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2122"
"76","AK","Ketchikan Gateway","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2130"
"77","AK","Kodiak Island","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2150"
"78","AK","Lake and Peninsula","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2164"
"79","AK","Matanuska-Susitna","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2170"
"109","AK","Nome","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2180"
"80","AK","North Slope","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2185"
"81","AK","Northwest Arctic","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2188"
"82","AK","Petersburg","Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2195"
"110","AK","Prince of Wales-Hyder","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2198"
"83","AK","Sitka","City and Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2220"
"84","AK","Skagway","Municipality","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2230"
"111","AK","Southeast Fairbanks","Census Area","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2240"
"85","AK","Wrangell","City and Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2275"
"86","AK","Yakutat","City and Borough","https://myvoterinformation.alaska.gov/","https://www.elections.alaska.gov/Core/voterregistration.php","https://myvoterinformation.alaska.gov/","2282"
