"StateNumber","State","CountyNumber","County","PrecinctNumber","Precinct"
"FL","Florida","12001","Alachua County","1",""
"FL","Florida","12001","Alachua County","2",""
"FL","Florida","12001","Alachua County","3",""
"FL","Florida","12001","Alachua County","4",""
"FL","Florida","12001","Alachua County","5",""
"FL","Florida","12001","Alachua County","6",""
"FL","Florida","12001","Alachua County","7",""
"FL","Florida","12001","Alachua County","8",""
"FL","Florida","12001","Alachua County","9",""
"FL","Florida","12001","Alachua County","10",""
"FL","Florida","12001","Alachua County","11",""
"FL","Florida","12001","Alachua County","12",""
"FL","Florida","12001","Alachua County","13",""
"FL","Florida","12001","Alachua County","14",""
"FL","Florida","12001","Alachua County","15",""
"FL","Florida","12001","Alachua County","16",""
"FL","Florida","12001","Alachua County","17",""
"FL","Florida","12001","Alachua County","18",""
"FL","Florida","12001","Alachua County","19",""
"FL","Florida","12001","Alachua County","20",""
"FL","Florida","12001","Alachua County","21",""
"FL","Florida","12001","Alachua County","22",""
"FL","Florida","12001","Alachua County","23",""
"FL","Florida","12001","Alachua County","24",""
"FL","Florida","12001","Alachua County","25",""
"FL","Florida","12001","Alachua County","26",""
"FL","Florida","12001","Alachua County","27",""
"FL","Florida","12001","Alachua County","28",""
"FL","Florida","12001","Alachua County","29",""
"FL","Florida","12001","Alachua County","30",""
"FL","Florida","12001","Alachua County","31",""
"FL","Florida","12001","Alachua County","32",""
"FL","Florida","12001","Alachua County","33",""
"FL","Florida","12001","Alachua County","34",""
"FL","Florida","12001","Alachua County","35",""
"FL","Florida","12001","Alachua County","36",""
"FL","Florida","12001","Alachua County","37",""
"FL","Florida","12001","Alachua County","38",""
"FL","Florida","12001","Alachua County","39",""
"FL","Florida","12001","Alachua County","40",""
"FL","Florida","12001","Alachua County","41",""
"FL","Florida","12001","Alachua County","42",""
"FL","Florida","12001","Alachua County","43",""
"FL","Florida","12001","Alachua County","44",""
"FL","Florida","12001","Alachua County","45",""
"FL","Florida","12001","Alachua County","46",""
"FL","Florida","12001","Alachua County","47",""
"FL","Florida","12001","Alachua County","48",""
"FL","Florida","12001","Alachua County","49",""
"FL","Florida","12001","Alachua County","50",""
"FL","Florida","12001","Alachua County","51",""
"FL","Florida","12001","Alachua County","52",""
"FL","Florida","12001","Alachua County","53",""
"FL","Florida","12001","Alachua County","54",""
"FL","Florida","12001","Alachua County","55",""
"FL","Florida","12001","Alachua County","56",""
"FL","Florida","12001","Alachua County","57",""
"FL","Florida","12001","Alachua County","58",""
"FL","Florida","12001","Alachua County","59",""
"FL","Florida","12001","Alachua County","60",""
"FL","Florida","12001","Alachua County","61",""
"FL","Florida","12001","Alachua County","62",""
"FL","Florida","12001","Alachua County","63",""
"FL","Florida","12003","Baker County","1A",""
"FL","Florida","12003","Baker County","2A",""
"FL","Florida","12003","Baker County","3A",""
"FL","Florida","12003","Baker County","4A",""
"FL","Florida","12003","Baker County","4B",""
"FL","Florida","12003","Baker County","4C",""
"FL","Florida","12003","Baker County","4D",""
"FL","Florida","12003","Baker County","5A",""
"FL","Florida","12003","Baker County","6A",""
"FL","Florida","12005","Bay County","1",""
"FL","Florida","12005","Bay County","10",""
"FL","Florida","12005","Bay County","11",""
"FL","Florida","12005","Bay County","12",""
"FL","Florida","12005","Bay County","13",""
"FL","Florida","12005","Bay County","14",""
"FL","Florida","12005","Bay County","15",""
"FL","Florida","12005","Bay County","16",""
"FL","Florida","12005","Bay County","17",""
"FL","Florida","12005","Bay County","18",""
"FL","Florida","12005","Bay County","19",""
"FL","Florida","12005","Bay County","2",""
"FL","Florida","12005","Bay County","20",""
"FL","Florida","12005","Bay County","21",""
"FL","Florida","12005","Bay County","22",""
"FL","Florida","12005","Bay County","23",""
"FL","Florida","12005","Bay County","24",""
"FL","Florida","12005","Bay County","25",""
"FL","Florida","12005","Bay County","26",""
"FL","Florida","12005","Bay County","27",""
"FL","Florida","12005","Bay County","28",""
"FL","Florida","12005","Bay County","29",""
"FL","Florida","12005","Bay County","3",""
"FL","Florida","12005","Bay County","30",""
"FL","Florida","12005","Bay County","31",""
"FL","Florida","12005","Bay County","32",""
